Temp,Time,Ar39
457,591,0.00189
482,593,0.00327
484,591,0.00209
508,594,0.00247
536,594,0.00464
534,591,0.00328
560,591,0.00636
560,593,0.00508
587,591,0.00907
637,591,0.03452
637,588,0.0282
664,588,0.05197
667,590,0.04058
691,590,0.06716
691,592,0.05053
694,584,0.02021
769,595,0.15682
820,580,0.39378
743,595,0.0446
873,595,0.82093
871,590,0.52445
921,591,0.93415
925,595,0.69357
880,587,0.25734
980,589,1.21655
1023,578,2.01898
1027,590,1.62815
1080,589,2.30529
1021,588,0.69503