Temp,Time (hr),He
120.1,0.5,0.1
120.1,1,0.1
140,0.5,0.1
140,1,0.1
160.1,0.5,0.2
22.7,0.01,0.7
175.1,0.5,0.3
175.1,0.75,0.4
200.2,0.5,0.7
200,0.75,0.7
225.2,0.5,1.3
225.1,1,1.5
250.1,0.5,1.5
250.1,1,1.9
275.3,0.5,1.6
275.1,1,2
300.3,0.5,1.6
300.1,1,1.9
325.3,0.5,1.7
350.2,0.5,2.6
350.1,1,2.2
337.1,1,0.9
312,1.3,0.4
287,1.5,0.2
259,2,0.1
238.1,3,0.1
250.1,2,0.1
275.1,1.5,0.1
300.1,1,0.1
325.1,1,0.4
350.1,1,0.7
375.1,1,1.1
400.2,0.5,0.7
400.1,1,0.7
425.2,0.5,0.4
425.1,1,0.3
450.2,0.5,0.1
450.1,1,0.1